Company Name,Address,City,State,Contact Person,Phone No,Mob No,Service Detail,Supplier or Booking,LCV or HCV,Email Id,Website,Vehicle Type,Segment
A One Logistics,"A-11, Mandir Moholla, Samaypur, Delhi- 42",Delhi,Delhi,"V P, Mishra",,"9*6**42*6* ,  9*12*709**","Full Load Services For Gujarat, Maharashtra & M.P., Jharkhand","Supplier, Booking","HCV, LCV",*onelogi*tic@gm*il.com,,10 Wheeler,"Foods, Grains,  Chemical"
Shree Laxmi Road Carrier India,"154/3 , Firni Road , Poothkhurd , Delhi",Delhi,Delhi,S.N. kausik,,"9*1100*990,  9*1190*990",Full Load Booking For All Over India,"Supplier, Booking",HCV,*hree.lrc89@gm*il.com,,"10 Wheeler,  12 Wheeler","All Type Material,  Industrial Goods"
A. T.O. (I) Ltd.,"2043/ 6, Chuna Mandi, Pahar Ganj, New Delhi - 55",Delhi,Delhi,S.K. Singh,"011 - 2***7710,  2***7790,  2***67*9,  2**6201*,  2**62296","9711*1*1*0,  **00200***",Full Load Service For All Over India,Booking,"HCV, LCV",delhi@*toonline.co.in,www.atoonline.com,"Trailer,  10 Wheeler","All Type Material,  Industrial Goods"
A.B.C. TRANSPORT CO. PVT. LTD.,"6, Rani Jhansi Road, Delhi",Delhi,Delhi,"Indervir Singh, Ashok Gaur","011 - 2*67*2**,  2*67*1*2",,"Parcel Booking For Delhi-Mumbai-Delhi, Special In Export Consignment, Kamla Market",Booking,HCV,,,,
A.B.S. Roadlines ®,"C- 27 Dawarkapuri, Vijay Encalve, Palam Road, Delhi-41",Delhi,Delhi,"Bhim Sain Sharma, Narinder Sharma",011 - 2*0**67*,"9*12**2*24,  9*6*07979*",All Over India,Booking,,*b*ro*dline*@gm*il.com,,"10 Wheeler,  12 Wheeler",All Type Material
A.D. Roadlines (Regd.),"4763 - 64 / Roshanara Road, Delhi-07",Delhi,Delhi,AK. Mathur,"011 - 2**207*4 ,  2**227**","9*1*6926*9,  9*1*6926**",All Over India,Booking,"HCV, LCV",*dro*dline*delhi@gm*il.com,,"Trailer,  Container,  10 Wheeler,  12 Wheeler","Industrial Goods,  Machinery"
A.J. Roadlines / Amar Jyoti Transport,"29, 2nd Floor, Khanna Market, Tis Hazari, Delhi",Delhi,Delhi,Anil Sharma,"011 - *192299**,  *29*21**",9*11609912,"Daily Services : Delhi To West Bengal, Bihar",Booking,"HCV, LCV",,,10 Wheeler,Parcel Services
A.K. Transport Service,"A-6, Main Rohtak Road , Swarn Park Bus Stand, Mundka, Delhi",Delhi,Delhi,Manoj Kumar,,"9*91**0946 ,  996**0**42",All Over India,Supplier,"HCV, LCV",*ktr*n*port6@gm*il.com,,"Trailer,  Container",Industrial Goods
A.K. Transport Services,"E-12, Chand Bagh Colony, Main Wazirabad Road, Opp., Bhajan Pura Petrol Pump, Delhi",Delhi,Delhi,Anil,,"9*11*406** ,  9*11*40**1","Special For Delhi, U.P., H.R., & Raj., Uttaranchal And All Over India",Supplier,LCV,,,Mini Truck,Industrial Goods
A.M. Freight Carrier,"AW-487. Sanjay Gandhi, Transport Nagar, New Delhi - 42",Delhi,Delhi,"Shukla Ji, Vishnu, Ashok",,"9*1*200*1*,  9*10414114,  742*14119*",Full Truck-Load Avilable For All Over Maharashtra,Supplier,HCV,,,"10 Wheeler,  12 Wheeler",All Type Material
A.M. Transport Pvt. Ltd.,"Shop No - 02, 1st Floor, Sandeep Complex, Panchum Nagar, Opp. Mother Dairy, Delh.",Delhi,Delhi,Abhishak Aggarwal,"011 - 224**246 ,  224**247","9**10**4**,  9**4****19",Full Load Booking For All Over India,"Supplier, Booking","HCV, LCV",,,,
